timestamp,agent.name,rule.description,rule.level,rule.id
"Mar 26, 2026 @ 16:01:33.355",ip-10-20-135-160.ec2.internal,Azure Security Posture: Container images in Azure registry should have vulnerability findings resolved.,10,100200
"Mar 26, 2026 @ 15:56:06.187",MACBOOKs-MacBook-Pro.local,Listened ports status (netstat) changed (new port opened or closed).,7,533
"Mar 26, 2026 @ 15:56:06.187",MACBOOKs-MacBook-Pro.local,Listened ports status (netstat) changed (new port opened or closed).,7,533
"Mar 26, 2026 @ 15:56:06.187",MACBOOKs-MacBook-Pro.local,Listened ports status (netstat) changed (new port opened or closed).,7,533
"Mar 26, 2026 @ 15:56:05.898",MACBOOKs-MacBook-Pro.local,Listened ports status (netstat) changed (new port opened or closed).,7,533
"Mar 26, 2026 @ 15:49:44.192",Fridge.local,Listened ports status (netstat) changed (new port opened or closed).,7,533
"Mar 26, 2026 @ 15:31:28.880",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update minimatch.,10,100200
"Mar 26, 2026 @ 15:31:28.880",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update tar.,10,100200
"Mar 26, 2026 @ 15:31:28.879",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update busybox.,10,100200
"Mar 26, 2026 @ 15:31:28.878",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update file-type.,10,100200
"Mar 26, 2026 @ 15:31:28.877",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update axios.,10,100200
"Mar 26, 2026 @ 15:31:28.876",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update cross-spawn.,10,100200
"Mar 26, 2026 @ 15:31:28.876",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update body-parser.,10,100200
"Mar 26, 2026 @ 15:31:28.875",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update qs.,10,100200
"Mar 26, 2026 @ 15:31:28.874",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update brace-expansion.,10,100200
"Mar 26, 2026 @ 15:31:28.874",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update flatted.,10,100200
"Mar 26, 2026 @ 15:31:28.873",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update js-yaml.,10,100200
"Mar 26, 2026 @ 15:31:28.873",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update ajv.,10,100200
"Mar 26, 2026 @ 15:31:28.872",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update multer.,10,100200
"Mar 26, 2026 @ 15:31:28.872",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update glob.,10,100200
"Mar 26, 2026 @ 15:31:28.870",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update dpkg.,10,100200
"Mar 26, 2026 @ 15:31:28.869",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update curl.,10,100200
"Mar 26, 2026 @ 15:31:28.869",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update tiff.,10,100200
"Mar 26, 2026 @ 15:31:28.867",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update glibc.,10,100200
"Mar 26, 2026 @ 15:31:28.867",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update gnutls28.,10,100200
"Mar 26, 2026 @ 15:31:28.866",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update libpng1.6.,10,100200
"Mar 26, 2026 @ 15:31:28.866",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update sqlite3.,10,100200
"Mar 26, 2026 @ 15:31:28.866",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update openssl.,10,100200
"Mar 26, 2026 @ 15:31:28.865",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update libxml2.,10,100200
"Mar 26, 2026 @ 15:31:28.865",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update freetype.,10,100200
"Mar 26, 2026 @ 15:31:05.312",Fridge.local,Listened ports status (netstat) changed (new port opened or closed).,7,533
"Mar 26, 2026 @ 15:31:00.663",Fridge.local,Listened ports status (netstat) changed (new port opened or closed).,7,533
"Mar 26, 2026 @ 15:21:28.962",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update body-parser.,10,100200
"Mar 26, 2026 @ 15:21:28.962",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update tar.,10,100200
"Mar 26, 2026 @ 15:21:28.960",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update busybox.,10,100200
"Mar 26, 2026 @ 15:21:28.958",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update file-type.,10,100200
"Mar 26, 2026 @ 15:21:28.958",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update minimatch.,10,100200
"Mar 26, 2026 @ 15:21:28.957",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update fast-xml-parser.,10,100200
"Mar 26, 2026 @ 15:21:28.956",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update ajv.,10,100200
"Mar 26, 2026 @ 15:21:28.955",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update cross-spawn.,10,100200
"Mar 26, 2026 @ 15:21:28.955",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update js-yaml.,10,100200
"Mar 26, 2026 @ 15:21:28.953",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update tmp.,10,100200
"Mar 26, 2026 @ 15:21:28.953",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update multer.,10,100200
"Mar 26, 2026 @ 15:21:28.952",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update jws.,10,100200
"Mar 26, 2026 @ 15:21:28.952",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update flatted.,10,100200
"Mar 26, 2026 @ 15:21:28.949",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update qs.,10,100200
"Mar 26, 2026 @ 15:21:28.948",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update glob.,10,100200
"Mar 26, 2026 @ 15:21:28.947",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update brace-expansion.,10,100200
"Mar 26, 2026 @ 15:21:28.946",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update busybox.,10,100200
"Mar 26, 2026 @ 15:21:28.945",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update multer.,10,100200
"Mar 26, 2026 @ 15:21:28.943",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update qs.,10,100200
"Mar 26, 2026 @ 15:21:28.942",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update flatted.,10,100200
"Mar 26, 2026 @ 15:21:28.941",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update cross-spawn.,10,100200
"Mar 26, 2026 @ 15:21:28.940",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update diff.,10,100200
"Mar 26, 2026 @ 15:21:28.933",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update tar.,10,100200
"Mar 26, 2026 @ 15:21:28.931",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update minimatch.,10,100200
"Mar 26, 2026 @ 15:21:28.930",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update webpack.,10,100200
"Mar 26, 2026 @ 15:21:28.929",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update file-type.,10,100200
"Mar 26, 2026 @ 15:21:28.928",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update body-parser.,10,100200
"Mar 26, 2026 @ 15:21:28.928",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update js-yaml.,10,100200
"Mar 26, 2026 @ 15:21:28.926",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update glob.,10,100200
"Mar 26, 2026 @ 15:21:28.925",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update axios.,10,100200
"Mar 26, 2026 @ 15:21:28.925",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update brace-expansion.,10,100200
"Mar 26, 2026 @ 15:21:28.924",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update ajv.,10,100200
"Mar 26, 2026 @ 15:21:28.922",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update busybox.,10,100200
"Mar 26, 2026 @ 15:21:28.921",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update tar.,10,100200
"Mar 26, 2026 @ 15:21:28.920",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update body-parser.,10,100200
"Mar 26, 2026 @ 15:21:28.919",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update qs.,10,100200
"Mar 26, 2026 @ 15:21:28.918",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update brace-expansion.,10,100200
"Mar 26, 2026 @ 15:21:28.918",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update minimatch.,10,100200
"Mar 26, 2026 @ 15:21:28.917",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update ajv.,10,100200
"Mar 26, 2026 @ 15:21:28.916",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update file-type.,10,100200
"Mar 26, 2026 @ 15:21:28.915",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update cross-spawn.,10,100200
"Mar 26, 2026 @ 15:21:28.914",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update fast-xml-parser.,10,100200
"Mar 26, 2026 @ 15:21:28.913",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update axios.,10,100200
"Mar 26, 2026 @ 15:21:28.913",ip-10-20-135-160.ec2.internal,Azure Security Posture: Update multer.,10,100200
